" Language "," Key "," Value ",
EN,WGO_ADD,Add,
EN,WGO_ADMIN_TITLE,Admin,
EN,WGO_AND,and,
EN,WGO_AUTH_ADD_USER_SUCCESS,User created successfully,
EN,WGO_AUTH_CHANGE_PASSWORD_TITLE,Password,
EN,WGO_AUTH_CHECK_EMAIL_MSG,Please check your email,
EN,WGO_AUTH_COLUMN_CERTIFICATE,Certificate,
EN,WGO_AUTH_COLUMN_CODE,Code,
EN,WGO_AUTH_COLUMN_CONFIRM_PASSWORD,Confirm password,
EN,WGO_AUTH_COLUMN_EMAIL,Email,
EN,WGO_AUTH_COLUMN_ID,Id,
EN,WGO_AUTH_COLUMN_LAST_NAME,Last name,
EN,WGO_AUTH_COLUMN_NAME,Name,
EN,WGO_AUTH_COLUMN_PASSWORD,Password,
EN,WGO_AUTH_COLUMN_ROLES,Roles,
EN,WGO_AUTH_COLUMN_USER_NAME,Username,
EN,WGO_AUTH_CONFIRM_EMAIL_TITLE,Confirm email,
EN,WGO_AUTH_CONFIRM_PASSWORD_LB,Password,
EN,WGO_AUTH_DELETE_USER_MSG,Are you sure you want to delete the user selected?,
EN,WGO_AUTH_DELETE_USER_SUCCESS,User deleted successfully,
EN,WGO_AUTH_EDIT_USER_SUCCESS,User edited successfully,
EN,WGO_AUTH_EDIT_USER_TITLE,User edited successfully,
EN,WGO_AUTH_EMAIL_SENDED_TITLE,Email Sended,
EN,WGO_AUTH_EMAIL_SENDED_TO_LB,Sended To,
EN,WGO_AUTH_GO_TO_REGISTER,Register,
EN,WGO_AUTH_GO_TO_RESET_PASSWORD,Reset password,
EN,WGO_AUTH_IS_CONFIRMED_EMAIL,Confirmed email,
EN,WGO_AUTH_LOGIN_TITLE,Login,
EN,WGO_AUTH_PASSWORD_LB,Password,
EN,WGO_AUTH_PASSWORD_NEED_BE_EQUALS,Passwords needs to be equals,
EN,WGO_AUTH_REGISTER_LB,Register,
EN,WGO_AUTH_REGISTER_TITLE,Register,
EN,WGO_AUTH_RESEND_EMAIL_TITLE,Resend Email Confirmation,
EN,WGO_AUTH_RESET_LB,Reset,
EN,WGO_AUTH_RESET_PASSWORD_TITLE,Reset Password,
EN,WGO_AUTH_USER_LB,User,
EN,WGO_AUTH_USER_NAME_EXIST_ERROR_MSG,Username already exist,
EN,WGO_AUTH_USER_TITLE,Users,
EN,WGO_AUTH_VERIFYING_ACCOUNT_LB,Verifying account...,
EN,WGO_AUTH_WRONG_CONFIRM_EMAIL,Unconfirmed credentials,
EN,WGO_AUTH_WRONG_EMAIL,Email already exists,
